ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	64	0	0	0.000000	422.437500	422.437500	0.000000	0.000000	0	4621	0
2	36	0	0	0.000000	453.805556	453.805556	0.000000	0.000000	0	3559	0
3	49	0	1	0.000000	438.755102	438.755102	0.000000	0.000000	0	2560	0
4	68	2	0	0.000000	609.397059	609.397059	0.000000	0.000000	0	7531	0
5	38	0	0	0.000000	564.236842	564.236842	0.000000	0.000000	0	2859	0
6	48	0	0	0.000000	184.041667	184.041667	0.000000	0.000000	0	1636	0
7	57	0	0	0.000000	277.982456	277.982456	0.000000	0.000000	0	2189	0
8	75	0	0	0.000000	936.413333	936.413333	0.000000	0.000000	0	14473	0
9	8	0	0	0.000000	1390.875000	1390.875000	0.000000	0.000000	0	2356	0
10	65	0	0	0.000000	1716.984615	1716.984615	0.000000	0.000000	0	19220	0
11	5	0	0	0.000000	2267.000000	2267.000000	0.000000	0.000000	0	4965	0
12	77	0	0	0.000000	682.467532	682.467532	0.000000	0.000000	0	11725	0
13	122	0	0	0.000000	185.336066	185.336066	0.000000	0.000000	0	4149	0
14	122	0	0	0.000000	1170.377049	1106.352459	0.000000	0.000000	0	23102	0
15	7	0	0	0.000000	198.857143	198.857143	0.000000	0.000000	0	226	0
16	11	2	0	0.000000	363.090909	276.363636	0.000000	0.000000	0	833	0
17	14	0	1	0.000000	15.142857	15.142857	0.000000	0.000000	0	57	0
18	14	0	1	0.000000	29.142857	29.142857	0.000000	0.000000	0	83	0
19	22	0	0	0.000000	183.181818	183.181818	0.000000	0.000000	0	378	0
20	30284	0	0	0.000000	163.304022	1.461498	0.000000	0.000000	0	833422	0
21	112	0	0	0.000000	907.785714	907.785714	0.000000	0.000000	0	21700	0
22	31	0	0	0.000000	205.000000	205.000000	0.000000	0.000000	0	866	0
23	23	0	0	0.000000	52.739130	52.739130	0.000000	0.000000	0	122	0
24	49	0	0	0.000000	236.061224	236.061224	0.000000	0.000000	0	1633	0
25	297	0	0	0.000000	497.700337	497.700337	0.000000	0.000000	0	25781	0
26	19	0	1	0.000000	694.263158	694.263158	0.000000	0.000000	0	2164	0
27	2	0	1	0.000000	121.500000	121.500000	0.000000	0.000000	0	36	0
28	39	2	0	0.000000	999.487179	999.487179	0.000000	0.000000	0	6496	0
29	41	0	0	0.000000	1177.902439	1177.902439	0.000000	0.000000	0	6299	0
30	86	0	0	0.000000	1253.941860	1253.941860	0.000000	0.000000	0	25911	0
31	22	0	0	0.000000	397.136364	397.136364	0.000000	0.000000	0	1690	0
32	44	0	0	0.000000	525.840909	510.522727	0.000000	0.000000	0	3455	0
33	35	0	0	0.000000	563.628571	563.628571	0.000000	0.000000	0	2528	0
34	36	0	0	0.000000	221.555556	221.555556	0.000000	0.000000	0	1028	0
35	30	0	0	0.000000	484.300000	484.300000	0.000000	0.000000	0	2520	0
36	4421	0	0	0.000000	117.868582	3.955666	0.000000	0.000000	0	92138	0
37	6	0	0	0.000000	251.666667	251.666667	0.000000	0.000000	0	141	0
38	39	0	0	0.000000	127.615385	127.615385	0.000000	0.000000	0	994	0
39	28	0	0	0.000000	241.928571	241.928571	0.000000	0.000000	0	531	0
40	57	0	0	0.000000	433.192982	433.192982	0.000000	0.000000	0	4708	0
41	61	0	0	0.000000	515.016393	515.016393	0.000000	0.000000	0	7289	0
42	616	0	1	0.000000	19.863636	1.779221	0.000000	0.000000	0	2318	0
43	98	0	0	0.000000	656.295918	656.295918	0.000000	0.000000	0	14093	0
44	1	2	0	0.000000	938.000000	938.000000	0.000000	0.000000	0	938	0
45	1	3	1	0.000000	2259.000000	2259.000000	0.000000	0.000000	0	2259	0
46	1	4	3	0.000000	249207.000000	249207.000000	0.000000	0.000000	0	82871	0
47	1	0	2	0.000000	91.000000	91.000000	0.000000	0.000000	0	80	0
48	2	2	0	0.000000	122.500000	122.500000	0.000000	0.000000	0	62	0
49	2	1	3	0.000000	192.500000	192.500000	0.000000	0.000000	0	133	0
50	1	3	1	0.000000	938.000000	938.000000	0.000000	0.000000	0	835	0
51	3	2	0	0.000000	219.000000	219.000000	0.000000	0.000000	0	291	0
52	1	0	2	0.000000	105.000000	105.000000	0.000000	0.000000	0	79	0
53	2	0	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	2	0
54	4	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	4	0
55	1	0	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
56	1	1	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	1	0
